name,url,status,ratings_to_scrape
ao thun,https://shopee.vn/%C3%81o-thun-nam-ng%E1%BA%AFn-tay-TORANO-ch%E1%BA%A5t-Cotton-m%C3%A1t-l%E1%BA%A1nh-tho%C3%A1ng-kh%C3%AD-co-gi%C3%A3n-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-m%E1%BB%93-h%C3%B4i-FSTS001-i.835435.14563509948,scraped,[]
son romand,https://shopee.vn/-Rom-nd-Son-Tint-l%C3%AC-cho-m%C3%B4i-c%C4%83ng-m%E1%BB%8Dng-H%C3%A0n-Qu%E1%BB%91c-Romand-Juicy-Lasting-Tint-5.5g-i.590427230.14613920375,scraped,[]
phan ma judydoll,https://shopee.vn/Ph%E1%BA%A5n-M%C3%A1-H%E1%BB%93ng-JUDYDOLL-2g-%C4%90%C6%A1n-S%E1%BA%AFc-M%E1%BB%8Bn-L%C3%AC-Chu%E1%BA%A9n-M%C3%A0u-Trang-%C4%90i%E1%BB%83m-T%E1%BB%B1-Nhi%C3%AAn-L%C3%A2u-Tr%C3%B4i-B%E1%BB%81n-M%C3%A0u-Su%E1%BB%91t-24h-i.341989119.3269390370,scraped,[]
highlight judydoll,https://shopee.vn/B%E1%BA%A3ng-Ph%E1%BA%A5n-B%E1%BA%AFt-S%C3%A1ng-T%E1%BA%A1o-Kh%E1%BB%91i-JUDYDOLL-9g-L%C3%A2u-Tr%C3%B4i-L%C3%AAn-M%C3%A0u-Chu%E1%BA%A9n-T%E1%BB%B1-Nhi%C3%AAn-M%E1%BB%8Bn-M%C3%A0ng-T%E1%BA%A1o-Hi%E1%BB%87u-%E1%BB%A8ng-3D-B%E1%BA%AFt-S%C3%A1ng-M%C3%A0u-B%C3%B3ng-4-Trong-1-i.341989119.19111977125,scraped,[]
tay da chet dove,https://shopee.vn/Combo-2-T%E1%BA%A9y-Da-Ch%E1%BA%BFt-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-To%C3%A0n-Th%C3%A2n-Dove-298g-x-2-i.111138057.22309878550,scraped,[]
nuoc sen cocoon,https://shopee.vn/Bigsize-N%C6%B0%E1%BB%9Bc-sen-H%E1%BA%ADu-Giang-(toner)-gi%C3%BAp-ph%E1%BB%A5c-h%E1%BB%93i-%C4%91a-nhi%E1%BB%87m-cho-da-r%E1%BA%A5t-nh%E1%BA%A1y-c%E1%BA%A3m-Cocoon-310ml-i.175753395.25779169863?sp_atk=c9bd2c85-6c93-4705-b8f4-d7d50a3e39a0&xptdk=c9bd2c85-6c93-4705-b8f4-d7d50a3e39a0,scraped,[]
tay trang garnier,https://shopee.vn/N%C6%B0%E1%BB%9Bc-T%E1%BA%A9y-Trang-l%C3%A0m-s%E1%BA%A1ch-s%C3%A2u-d%E1%BB%8Bu-nh%E1%BA%B9-cho-m%E1%BB%8Di-lo%E1%BA%A1i-da-Garnier-Micellar-Cleansing-Water-400ml-i.421677475.10707015149,scraped,[]
lan khu mui nivea,https://shopee.vn/L%C4%83n-Ng%C4%83n-M%C3%B9i-NIVEA-S%C3%A1ng-M%E1%BB%8Bn-M%E1%BB%9D-Th%C3%A2m-Se-Kh%C3%ADt-L%E1%BB%97-Ch%C3%A2n-L%C3%B4ng-(50-ml)-81644-i.61922582.1061376888,scraped,[]
sua duong the vaseline,https://shopee.vn/Serum-Vaseline-Gluta-Hya-D%C6%B0%E1%BB%A1ng-Da-S%C3%A1ng-M%E1%BB%8Bn-Sau-7-Ng%C3%A0y-330ML-i.1397276155.29118467747?sp_atk=9a020a5f-83b7-4bdc-9b9c-f1f8d4360a06&xptdk=9a020a5f-83b7-4bdc-9b9c-f1f8d4360a06,not scraped,"[1, 2, 3, 4, 5]"
kem chong nang loreal,https://shopee.vn/Kem-ch%E1%BB%91ng-n%E1%BA%AFng-si%C3%AAu-m%E1%BB%8Bn-nh%E1%BA%B9-b%E1%BA%A3o-v%E1%BB%87-da-t%E1%BB%91i-%C6%B0u-L%E2%80%99Oreal-Paris-UV-Defender-Serum-SPF50-PA--i.37251933.8143545820?sp_atk=91f14eb4-1f83-400c-a8c0-e4afeef966b7&xptdk=91f14eb4-1f83-400c-a8c0-e4afeef966b7,not scraped,"[1, 2, 3, 4, 5]"
serum torriden,https://shopee.vn/-Torriden-Ch%C3%ADnh-h%C3%A3ng-SET-Serum-v%C3%A0-kem-d%C6%B0%E1%BB%A1ng-l%C3%A0m-d%E1%BB%8Bu-da-DIVE-IN-50ml-100ml-i.436346871.21771607962?sp_atk=7a8b9f3a-226c-4c21-9425-a7245bfdc2d5&xptdk=7a8b9f3a-226c-4c21-9425-a7245bfdc2d5,not scraped,"[1, 2, 3, 4, 5]"
kem u toc dove,https://shopee.vn/Kem-%E1%BB%A7-Dove-Ph%E1%BB%A5c-h%E1%BB%93i-h%C6%B0-t%E1%BB%95n-Hya-Ceramide-Ng%C4%83n-g%C3%A3y-r%E1%BB%A5ng-t%C3%B3c-Hya-Biotin-%C4%90%E1%BA%A3o-ng%C6%B0%E1%BB%A3c-10-d%E1%BA%A5u-hi%E1%BB%87u-h%C6%B0-t%E1%BB%95n-300ML-i.111138057.20330214189?sp_atk=c74d5b9c-0814-4c57-b8bb-d48b145a8e77&xptdk=c74d5b9c-0814-4c57-b8bb-d48b145a8e77,not scraped,"[1, 2, 3, 4, 5]"
nuoc hoa johnson,https://shopee.vn/N%C6%B0%E1%BB%9Bc-hoa-Johnson's-Baby-h%C6%B0%C6%A1ng-ban-mai-125ml-100809603-i.78546729.1368300862?sp_atk=9be393cd-b139-476f-8949-2d8cdbb15c20&xptdk=9be393cd-b139-476f-8949-2d8cdbb15c20,not scraped,"[1, 2, 3, 4, 5]"
dau tay trang hada labo,https://shopee.vn/D%E1%BA%A7u-t%E1%BA%A9y-trang-d%C6%B0%E1%BB%A1ng-%E1%BA%A9m-Hada-Labo-Advanced-Nourish-Hyaluron-Cleasing-Oil-200ml-i.95753434.1566923679?sp_atk=a394ab6b-2946-4920-95fb-b3e947eeebec&xptdk=a394ab6b-2946-4920-95fb-b3e947eeebec,not scraped,"[1, 2, 3, 4, 5]"
kem lot fit me,https://shopee.vn/Kem-L%C3%B3t-Ki%E1%BB%81m-D%E1%BA%A7u-Ng%C4%83n-Xu%E1%BB%91ng-T%C3%B4ng-SPF-20-Fit-Me-Primer-Matte-Poreless-Maybelline-New-York-30ml-i.37252407.9378725916?sp_atk=af9765d2-57e8-4c4e-845d-e42165f6cffe&xptdk=af9765d2-57e8-4c4e-845d-e42165f6cffe,not scraped,"[1, 2, 3, 4, 5]"
mascara maybelline,https://shopee.vn/Mascara-Sky-High-Chu%E1%BB%91t-Mi-T%C6%A1i-D%C3%A0i-Mi-Lash-Sensational-Maybelline-New-York-Waterproof-6ml-i.37252407.18845055209?sp_atk=dc6528a0-7037-4934-80b7-27efc62e3f9e&xptdk=dc6528a0-7037-4934-80b7-27efc62e3f9e,not scraped,"[1, 2, 3, 4, 5]"
kem nen maybelline,https://shopee.vn/Kem-N%E1%BB%81n-M%E1%BB%8Bn-Nh%E1%BA%B9-Ki%E1%BB%81m-D%E1%BA%A7u-Fit-Me-Maybelline-Matte-Poreless-Foundation-30ml-i.37252407.2356429108,not scraped,"[1, 2, 3, 4, 5]"
phan phu focallure,https://shopee.vn/FOCALLURE-Ph%E1%BA%A5n-ph%E1%BB%A7-d%E1%BA%A1ng-b%E1%BB%99t-ki%E1%BB%81m-d%E1%BA%A7u-che-ph%E1%BB%A7-to%C3%A0n-di%E1%BB%87n-7g-i.719499279.13394038393?sp_atk=fb936f8a-f350-41c3-90e9-384ad99d0b74&xptdk=fb936f8a-f350-41c3-90e9-384ad99d0b74,not scraped,"[1, 2, 3, 4, 5]"
bha paula choice,https://shopee.vn/Dung-d%E1%BB%8Bch-lo%E1%BA%A1i-b%E1%BB%8F-t%E1%BA%BF-b%C3%A0o-ch%E1%BA%BFt-Paula's-Choice-2-BHA-30ml-i.14879703.1822439842?sp_atk=e088cc1f-cdbc-4536-964c-308e9eff5771&xptdk=e088cc1f-cdbc-4536-964c-308e9eff5771,not scraped,"[1, 2, 3, 4, 5]"
may uon toc aiko,https://shopee.vn/M%C3%A1y-u%E1%BB%91n-t%C3%B3c-xo%C4%83n-t%E1%BB%B1-%C4%91%E1%BB%99ng-AKIO-ch%E1%BA%A5t-li%E1%BB%87u-g%E1%BB%91m-s%E1%BB%A9-%C4%91%C6%B0%E1%BB%9Dng-k%C3%ADnh-u%E1%BB%91n-28mm-v%C3%A0-32mm-i.202721408.5318932779?sp_atk=1df3193b-484e-4327-b1f9-994211492db4&xptdk=1df3193b-484e-4327-b1f9-994211492db4,not scraped,"[1, 2, 3, 4, 5]"
bang mat pinkflash,https://shopee.vn/B%E1%BA%A3ng-ph%E1%BA%A5n-m%E1%BA%AFt-PINKFLASH-PinkDessert-%C4%91%E1%BB%99-l%C3%AAn-m%C3%A0u-cao-nh%C5%A9-%C3%A1nh-kim-l%C3%A2u-tr%C3%B4i-trang-%C4%91i%E1%BB%83m-%C4%91a-n%C4%83ng-100g-i.299282693.10963072995?sp_atk=2c7e6d75-ccfc-458a-a968-dd5dc7b2047d&xptdk=2c7e6d75-ccfc-458a-a968-dd5dc7b2047d,not scraped,"[1, 2, 3, 4, 5]"
xit khoa nen pramy,https://shopee.vn/PRAMY-Xi%CC%A3t-Khoa%CC%81-N%E1%BB%81n-C%E1%BB%91-%C4%90%E1%BB%8Bnh-L%E1%BB%9Bp-Trang-%C4%90i%E1%BB%83m-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-L%C3%A2u-Tr%C3%B4i-V%C3%A0-Ki%E1%BB%81m-D%E1%BA%A7u-65ml-100ml.-i.546112945.16045230221?sp_atk=284d01a4-5cc2-43f8-9aa1-60464f1b4e25&xptdk=284d01a4-5cc2-43f8-9aa1-60464f1b4e25,not scraped,"[1, 2, 3, 4, 5]"
mut trang diem focallure,https://shopee.vn/FOCALLURE-M%C3%BAt-t%C3%A1n-trang-%C4%91i%E1%BB%83m-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-kh%C3%B4ng-m%C3%B9i-cao-su-m%C3%BAt-t%C3%A1n-m%E1%BB%81m-m%E1%BB%8Bn-20g-i.719499279.14687751186?sp_atk=3142efb8-b397-4af1-abdc-12dc15c2ce82&xptdk=3142efb8-b397-4af1-abdc-12dc15c2ce82,not scraped,"[1, 2, 3, 4, 5]"
co trang diem maange,https://shopee.vn/B%E1%BB%99-9-c%E1%BB%8D-trang-%C4%91i%E1%BB%83m-MAANGE-chuy%C3%AAn-nghi%E1%BB%87p-cao-c%E1%BA%A5p-51129-i.335584135.14557299823?sp_atk=e98afedb-f0ca-4e02-ab6b-c9898f7806d7&xptdk=e98afedb-f0ca-4e02-ab6b-c9898f7806d7,not scraped,"[1, 2, 3, 4, 5]"
xit duong toc vi jully,https://shopee.vn/X%E1%BB%8Bt-d%C6%B0%E1%BB%A1ng-t%C3%B3c-tinh-d%E1%BA%A7u-b%C6%B0%E1%BB%9Fi-(-Hair-Lotion-)-Vi-Jully-150ml-i.155185230.9121705984?sp_atk=470c7e78-917c-4fdb-bdaf-336cac543537&xptdk=470c7e78-917c-4fdb-bdaf-336cac543537,not scraped,"[1, 2, 3, 4, 5]"
kep mi focallure,https://shopee.vn/(T%E1%BA%B7ng-%C4%90%E1%BB%87m-Cao-Su-Thay-Th%E1%BA%BF)-FOCALLURE-D%E1%BB%A5ng-C%E1%BB%A5-B%E1%BA%A5m-L%C3%B4ng-Mi-Gi%C3%BAp-H%C3%A0ng-Mi-Cong-32g-i.719499279.20984577160?sp_atk=413e1d46-9258-4c27-969c-ff2158f5c227&xptdk=413e1d46-9258-4c27-969c-ff2158f5c227,not scraped,"[1, 2, 3, 4, 5]"
che khuyet diem focallure,https://shopee.vn/Kem-che-khuy%E1%BA%BFt-%C4%91i%E1%BB%83m-Focallure-%C4%91%E1%BB%99-che-ph%E1%BB%A7-cao-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-gi%E1%BB%AF-m%C3%A0u-l%C3%A2u-tr%C3%B4i-4.3g-i.182631756.6364386266?sp_atk=857b1d60-51ab-4109-b129-697ebaf43971&xptdk=857b1d60-51ab-4109-b129-697ebaf43971,not scraped,"[1, 2, 3, 4, 5]"
kem chong lao hoa hada labo,https://shopee.vn/Kem-d%C6%B0%E1%BB%A1ng-c%E1%BA%A3i-thi%E1%BB%87n-d%E1%BA%A5u-hi%E1%BB%87u-l%C3%A3o-h%C3%B3a-Hada-Labo-Pro-Aging-Retinol-B3-Cream-50g-i.95753434.1567141280?sp_atk=17215b6a-e85f-43b0-927f-5a0ac91370a6&xptdk=17215b6a-e85f-43b0-927f-5a0ac91370a6,not scraped,"[1, 2, 3, 4, 5]"
lens kilala,https://shopee.vn/K%C3%ADnh-%C3%A1p-tr%C3%B2ng-Kilala-m%C3%A0u-n%C3%A2u-Chestnut-Milk-Brown-Whiskey-Brown-lens-c%E1%BA%ADn-6-th%C3%A1ng-DIA-14.2mm-c%C3%B3-%C4%91%E1%BB%99-(0-8)-1-c%E1%BA%B7p-i.937134165.21777133008?sp_atk=75663993-3678-42d5-815d-536ba509246e&xptdk=75663993-3678-42d5-815d-536ba509246e,not scraped,"[1, 2, 3, 4, 5]"
mi gia,https://shopee.vn/-KOL-L%C3%B4ng-Mi-Gi%E1%BA%A3-ANIME-HO%E1%BA%A0T-H%C3%8CNH-MLEN-DIARY-Mi-C%E1%BB%A5m-M%E1%BB%81m-M%E1%BA%A1i-V%C3%A0-Keo-4in1-T%E1%BB%B1-Nhi%C3%AAn-D%E1%BB%85-S%E1%BB%AD-D%E1%BB%A5ng-i.1098753018.14399673715?sp_atk=459970cf-b4a1-4cbf-9481-2152e6852959&xptdk=459970cf-b4a1-4cbf-9481-2152e6852959,not scraped,"[1, 2, 3, 4, 5]"
son mong tay,https://shopee.vn/Gel-s%C6%A1n-m%C3%B3ng-MISSCHEERING-l%C3%A2u-tr%C3%B4i-nhi%E1%BB%81u-m%C3%A0u-s%E1%BA%AFc-th%E1%BB%9Di-trang-2024-t%C3%B9y-ch%E1%BB%8Dn-%E3%80%90C%E1%BA%A7n-chi%E1%BA%BFu-x%E1%BA%A1-%C4%91%C3%A8n-m%C3%B3ng-tay%E3%80%91-i.729762059.18656153669?sp_atk=fadabab8-a502-4faf-af92-70411f3649bc&xptdk=fadabab8-a502-4faf-af92-70411f3649bc,not scraped,"[1, 2, 3, 4, 5]"
sua rua mat effaclar,https://shopee.vn/Gel-r%E1%BB%ADa-m%E1%BA%B7t-t%E1%BA%A1o-b%E1%BB%8Dt-d%C3%A0nh-cho-da-d%E1%BA%A7u-m%E1%BB%A5n-La-Roche-Posay-Effaclar-Foaming-Gel-400ml-i.37251700.1335573348?sp_atk=cbab82b1-7b51-4bf6-8384-f4b8e16cb0da&xptdk=cbab82b1-7b51-4bf6-8384-f4b8e16cb0da,not scraped,"[1, 2, 3, 4, 5]"
